i,j,x,y,p,w,q
5,6,0.117647,0.137255,1.219159,1.004844,0.000046
5,7,0.117647,0.156863,1.186063,1.005536,0.000093
5,8,0.117647,0.176471,1.150146,1.006228,0.000178
5,9,0.117647,0.196078,1.111953,1.006920,0.000330
5,10,0.117647,0.215686,1.072063,1.007612,0.000588
5,11,0.117647,0.235294,1.031080,1.008304,0.001007
5,12,0.117647,0.254902,0.989627,1.008997,0.001659
5,13,0.117647,0.274510,0.948330,1.009689,0.002632
5,14,0.117647,0.294118,0.907817,1.010381,0.004018
5,15,0.117647,0.313725,0.868701,1.011073,0.005901
5,16,0.117647,0.333333,0.831576,1.011765,0.008341
5,17,0.117647,0.352941,0.797004,1.012457,0.011345
5,18,0.117647,0.372549,0.765509,1.013149,0.014849
5,19,0.117647,0.392157,0.737568,1.013841,0.018701
5,20,0.117647,0.411765,0.713606,1.014533,0.022665
5,21,0.117647,0.431373,0.693985,1.015225,0.026433
5,22,0.117647,0.450980,0.679004,1.015917,0.029664
5,23,0.117647,0.470588,0.668888,1.016609,0.032035
5,24,0.117647,0.490196,0.663791,1.017301,0.033291
5,25,0.117647,0.509804,0.663791,1.017993,0.033291
5,26,0.117647,0.529412,0.668888,1.018685,0.032035
5,27,0.117647,0.549020,0.679004,1.019377,0.029664
5,28,0.117647,0.568627,0.693985,1.020069,0.026433
5,29,0.117647,0.588235,0.713606,1.020761,0.022665
5,30,0.117647,0.607843,0.737568,1.021453,0.018701
5,31,0.117647,0.627451,0.765509,1.022145,0.014849
5,32,0.117647,0.647059,0.797004,1.022837,0.011345
5,33,0.117647,0.666667,0.831576,1.023529,0.008341
5,34,0.117647,0.686275,0.868701,1.024221,0.005901
5,35,0.117647,0.705882,0.907817,1.024913,0.004018
5,36,0.117647,0.725490,0.948330,1.025606,0.002632
5,37,0.117647,0.745098,0.989627,1.026298,0.001659
5,38,0.117647,0.764706,1.031080,1.026990,0.001007
5,39,0.117647,0.784314,1.072063,1.027682,0.000588
5,40,0.117647,0.803922,1.111953,1.028374,0.000330
5,41,0.117647,0.823529,1.150146,1.029066,0.000178
5,42,0.117647,0.843137,1.186063,1.029758,0.000093
5,43,0.117647,0.862745,1.219159,1.030450,0.000046
5,44,0.117647,0.882353,1.248934,1.031142,0.000022
5,45,0.117647,0.901961,1.274934,1.031834,0.000010
5,46,0.117647,0.921569,1.296767,1.032526,0.000005
5,47,0.117647,0.941176,1.314101,1.033218,0.000002
5,48,0.117647,0.960784,1.326674,1.033910,0.000001
5,49,0.117647,0.980392,1.334295,1.034602,0.000000
6,0,0.137255,0.019608,1.376825,1.000807,0.000001
6,1,0.137255,0.039216,1.368234,1.001615,0.000002
6,2,0.137255,0.058824,1.354062,1.002422,0.000004
6,3,0.137255,0.078431,1.334522,1.003230,0.000010
6,4,0.137255,0.098039,1.309912,1.004037,0.000022
6,5,0.137255,0.117647,1.280604,1.004844,0.000046
6,6,0.137255,0.137255,1.247041,1.005652,0.000096
6,7,0.137255,0.156863,1.209734,1.006459,0.000193
6,8,0.137255,0.176471,1.169248,1.007266,0.000370
6,9,0.137255,0.196078,1.126196,1.008074,0.000685
6,10,0.137255,0.215686,1.081231,1.008881,0.001220
6,11,0.137255,0.235294,1.035035,1.009689,0.002090
6,12,0.137255,0.254902,0.988307,1.010496,0.003445
6,13,0.137255,0.274510,0.941757,1.011303,0.005465
6,14,0.137255,0.294118,0.896089,1.012111,0.008341
6,15,0.137255,0.313725,0.851997,1.012918,0.012252
6,16,0.137255,0.333333,0.810149,1.013725,0.017317
6,17,0.137255,0.352941,0.771178,1.014533,0.023553
6,18,0.137255,0.372549,0.735676,1.015340,0.030827
6,19,0.137255,0.392157,0.704181,1.016148,0.038825
6,20,0.137255,0.411765,0.677170,1.016955,0.047054
6,21,0.137255,0.431373,0.655054,1.017762,0.054877
6,22,0.137255,0.450980,0.638166,1.018570,0.061586
6,23,0.137255,0.470588,0.626763,1.019377,0.066508
6,24,0.137255,0.490196,0.621018,1.020185,0.069115
6,25,0.137255,0.509804,0.621018,1.020992,0.069115
6,26,0.137255,0.529412,0.626763,1.021799,0.066508
6,27,0.137255,0.549020,0.638166,1.022607,0.061586
6,28,0.137255,0.568627,0.655054,1.023414,0.054877
6,29,0.137255,0.588235,0.677170,1.024221,0.047054
6,30,0.137255,0.607843,0.704181,1.025029,0.038825
6,31,0.137255,0.627451,0.735676,1.025836,0.030827
6,32,0.137255,0.647059,0.771178,1.026644,0.023553
6,33,0.137255,0.666667,0.810149,1.027451,0.017317
6,34,0.137255,0.686275,0.851997,1.028258,0.012252
6,35,0.137255,0.705882,0.896089,1.029066,0.008341
6,36,0.137255,0.725490,0.941757,1.029873,0.005465
6,37,0.137255,0.745098,0.988307,1.030681,0.003445
6,38,0.137255,0.764706,1.035035,1.031488,0.002090
6,39,0.137255,0.784314,1.081231,1.032295,0.001220
6,40,0.137255,0.803922,1.126196,1.033103,0.000685
6,41,0.137255,0.823529,1.169248,1.033910,0.000370
6,42,0.137255,0.843137,1.209734,1.034717,0.000193
6,43,0.137255,0.862745,1.247041,1.035525,0.000096
6,44,0.137255,0.882353,1.280604,1.036332,0.000046
6,45,0.137255,0.901961,1.309912,1.037140,0.000022
6,46,0.137255,0.921569,1.334522,1.037947,0.000010
6,47,0.137255,0.941176,1.354062,1.038754,0.000004
6,48,0.137255,0.960784,1.368234,1.039562,0.000002
6,49,0.137255,0.980392,1.376825,1.040369,0.000001
7,0,0.156863,0.019608,1.413642,1.000923,0.000001
7,1,0.156863,0.039216,1.404213,1.001845,0.000003
7,2,0.156863,0.058824,1.388656,1.002768,0.000008
7,3,0.156863,0.078431,1.367207,1.003691,0.000019
7,4,0.156863,0.098039,1.340192,1.004614,0.000043
7,5,0.156863,0.117647,1.308020,1.005536,0.000093
7,6,0.156863,0.137255,1.271178,1.006459,0.000193
7,7,0.156863,0.156863,1.230226,1.007382,0.000385
7,8,0.156863,0.176471,1.185784,1.008304,0.000740
7,9,0.156863,0.196078,1.138526,1.009227,0.001369
7,10,0.156863,0.215686,1.089168,1.010150,0.002437
7,11,0.156863,0.235294,1.038458,1.011073,0.004175
7,12,0.156863,0.254902,0.987165,1.011995,0.006882
7,13,0.156863,0.274510,0.936066,1.012918,0.010917
7,14,0.156863,0.294118,0.885937,1.013841,0.016664
7,15,0.156863,0.313725,0.837537,1.014764,0.024476
7,16,0.156863,0.333333,0.791599,1.015686,0.034596
7,17,0.156863,0.352941,0.748821,1.016609,0.047054
7,18,0.156863,0.372549,0.709851,1.017532,0.061586
7,19,0.156863,0.392157,0.675278,1.018454,0.077565
7,20,0.156863,0.411765,0.645628,1.019377,0.094005
7,21,0.156863,0.431373,0.621351,1.020300,0.109632
7,22,0.156863,0.450980,0.602813,1.021223,0.123036
7,23,0.156863,0.470588,0.590296,1.022145,0.132869
7,24,0.156863,0.490196,0.583989,1.023068,0.138077
7,25,0.156863,0.509804,0.583989,1.023991,0.138077
7,26,0.156863,0.529412,0.590296,1.024913,0.132869
7,27,0.156863,0.549020,0.602813,1.025836,0.123036
7,28,0.156863,0.568627,0.621351,1.026759,0.109632
7,29,0.156863,0.588235,0.645628,1.027682,0.094005
7,30,0.156863,0.607843,0.675278,1.028604,0.077565
7,31,0.156863,0.627451,0.709851,1.029527,0.061586
